code,product_name,nutriscore_grade,ecoscore_grade,is_bio,Yuka_score,Yuka_class,fruits-vegetables-nuts-estimate-from-ingredients_serving,sugars_100g,energy_value,energy_unit,energy-kcal_value,saturated-fat_value,sodium_100g,proteins_100g,fiber_100g,fruits-vegetables-nuts-estimate-from-ingredients_serving,Nbr additifs à risque,Nbr additifs à risque modéré,Nbr additifs à risque limité,Nbr additifs sans risque,additives_count
3266140062132,Ravioles du Dauphiné LABEL ROUGE IGP Lot de,d,b,FALSE,35,Mediocre,0,1.5,1195,kJ,285,8.1,0.6,13,2.5,0,0,0,0,0,0
8410300352327,Yakisoba classic gourmet oriental,d,c,FALSE,27,Mediocre,4,1.9,966,kJ,231,4.8,0.4,4.1,1.7,4,1,0,3,4,9
5997523324315,Soba Wok Style Terriyaki,d,c,FALSE,9,Mauvais,3.96770833333333,3.3,847,kJ,202,4.1,0.64,4.4,,3.96770833333333,2,0,4,2,9
3564709015125,Raviolis du Dauphiné,d,b,FALSE,32,Mediocre,0,1.8,290,kcal,290,7.3,0.64,14,0.8,0,0,0,0,0,0
5901384506575,Yakisoba soja classique,d,b,FALSE,8,Mauvais,0,3.1,241,kcal,241,5.4,0.56,4.2,,0,1,0,3,4,9
3701002405455,ravioles,d,b,FALSE,34,Mediocre,7.85,1.5,285,kcal,285,8.1,0.6,13,2.5,7.85,0,0,0,0,0
3154230805342,Pâte feuilleté Trésor de Grand Mère,d,c,FALSE,32,Mediocre,0.55,1.6,1625,kj,389,14,0.44,7.2,1,0.55,0,0,0,0,0
5000118203497,Pot Noodle Beef And Tomato,d,d,FALSE,39,Mediocre,18,1.4,143,kcal,143,2.8,0.22,3.5,1.3,18,1,0,3,3,6
3266140051600,Ravioles du Dauphiné surgelées,d,b,FALSE,33,Mediocre,0,1.9,280,kcal,280,7.6,0.56,13,,0,0,0,0,0,0
3256225148578,Nouilles cuisinées cup saveur boeuf,d,b,FALSE,7,Mauvais,0.0888875325520884,5.4,1954,kJ,467,4.8,2.12,7.9,2.5,0.0888875325520884,0,0,4,4,9
8001020110016,Ravioli met ricotta en spinazie,d,c,FALSE,31,Mediocre,70,5.1,1090,kj,260,8.7,0.6,9,0,70,0,0,0,0,0
3596710214716,Ravioles du DauphinéAux œufs frais,d,b,FALSE,34,Mediocre,2,1.8,1203,kJ,287,7.5,0.68,14,1.4,2,0,0,0,0,0
3256225148813,Nouilles cuisinées cup saveur poulet,d,b,FALSE,8,Mauvais,0.087890625,3.4,1941,kJ,463,4.7,1.96,8.3,2.5,0.087890625,0,0,4,3,8
3250391110483,Ravioles du dauphiné label rouge igp,d,c,FALSE,33,Mediocre,4,1.6,285,kcal,285,7.4,0.664,13.9,0,4,0,0,0,0,0
5000118203534,Chinese Chow Mein Noodles,d,c,FALSE,34,Mediocre,7.3625,1.21,411,kcal,411,1.7,0.232,3.05,0.82,7.3625,1,0,3,5,9
8001665713153,Ravioli 4 Formaggi,d,c,FALSE,90,Excellent,0.8671875,3.7,1280,kJ,298,5.1,1.3,12,5,0.8671875,0,0,0,0,0
8005658008233,Ravioli au bœuf braisé,d,b,FALSE,8,Mauvais,2.19728174603175,1,273,kcal,273,3.4,0.56,15,,2.19728174603175,1,1,1,0,3
3266140061814,Pates fraiches au fromage Bousin ail & fines herbes,d,b,FALSE,38,Mediocre,0,1.8,1125,kJ,268,6.2,0.56,10,3,0,0,0,0,1,1
3245390125712,Pâté au piment d'Espelette Recette Basque,e,c,FALSE,30,Mediocre,3.9046875,0.7,1424,kJ,345,13,0.64,13,0.9,3.9046875,0,0,0,0,0
8852018101147,Grilled Chicken Flavour,e,c,FALSE,0,Mauvais,0.011819920369561,2.75,337,kcal,337,7.5,1.19,4.58,1.58,0.011819920369561,3,1,2,4,15
8801073115088,quattro cheese hot chicken flavor ramen,e,b,FALSE,0,Mauvais,0,7.59,590,kcal,590,9,1.32,11,1.38,0,2,0,3,7,13
3038359005800,Lustucru banzaï noodle nouilles sautées en sauce poulet teriyaki 90g,e,b,FALSE,30,Mediocre,5.84977678571429,3.4,1031,kJ,246,4.9,0.36,5,1.5,5.84977678571429,1,0,3,1,7
6935270641650,Artificial Roasted Beef Flavour Instant Noodles,e,b,FALSE,0,Mauvais,0,4.2,414,kcal,414,7.5,3.28,11,3,0,6,1,4,4,12
850016318541,Roasted “Pork” Tonkotsu Ramen Soup,e,d,FALSE,12,Mauvais,0.00294348491090091,1.69,300,kcal,300,8,1.51,30.5,16.9,0.00294348491090091,0,0,3,3,3
9300777092347,Fried noodles,e,c,FALSE,0,Mauvais,0,12,500.8,kcal,500.8,6.4,0.852,5.6,,0,1,0,1,1,4
8720812770633,Hot Spicy Ramen Noodles Speedy Spicy,e,d,FALSE,0,Mauvais,5.08087158203125,8.23,1789,kJ,428,8.89,1.132,7.4,,5.08087158203125,4,2,1,3,21
4088600270463,Snack noodles,e,c,FALSE,36,Mediocre,1.82155064174107,3.9,422,kJ,101,1.9,0.172,2.2,0.8,1.82155064174107,1,0,3,3,2
