code,product_name,nutriscore_grade,ecoscore_grade,is_bio,Yuka_score,Yuka_class,fruits-vegetables-nuts-estimate-from-ingredients_serving,sugars_100g,energy_value,energy_unit,energy-kcal_value,saturated-fat_value,sodium_100g,proteins_100g,fiber_100g,fruits-vegetables-nuts-estimate-from-ingredients_serving.1,Nbr additifs à risque,Nbr additifs à risque modéré,Nbr additifs à risque limité,Nbr additifs sans risque,additives_count,knn_class,quantile_class
3038352880206.0,Ravioli pur bœuf sans colorant ni conservateur,b,b,False,75.0,Excellent,17.1875,1.4,384.0,kJ,91.0,0.8,0.34,3.8,1.6,17.1875,0.0,0.0,0.0,1.0,1.0,A,D
3229820181363.0,Ramen soja caramel,b,b,False,54.0,Bon,0.2175,2.5,692.0,kJ,163.0,0.1,0.6,5.3,1.7,0.2175,0.0,0.0,2.0,3.0,5.0,E,D
3248832960209.0,Penne au Poulet et au Pesto,b,d,False,84.0,Excellent,24.99166667,1.6,778.0,kJ,186.0,1.5,0.26,8.0,1.2,24.99166667,0.0,0.0,0.0,0.0,0.0,A,D
3240930116120.0,Ravioli boeuf,b,e,False,75.0,Excellent,13.55,4.2,1109.0,kJ,263.0,2.0,0.44,9.7,2.3,13.55,0.0,0.0,0.0,0.0,0.0,B,D
3240931545356.0,Tortellini basilic parmesan 250g,b,c,False,72.0,Bon,6.5,2.4,1198.0,kJ,286.0,3.4,0.4,10.0,2.9,6.5,0.0,0.0,0.0,0.0,0.0,B,D
8001665705417.0,Ravioli bio au blé complet épinards ricotta burrata,b,a,True,85.0,Excellent,19.0,4.1,1064.0,kJ,254.0,2.6,0.384,9.9,3.7,19.0,0.0,0.0,0.0,0.0,0.0,B,D
3270160867431.0,"Ravioli ricotta épinard, sauce à la tomate",b,b,False,78.0,Excellent,52.73125,4.0,121.0,kcal,121.0,1.9,0.32,5.4,1.8,52.73125,0.0,0.0,0.0,1.0,1.0,A,D
4002359752100.0,Vermicelles,b,c,False,78.0,Bon,0.0,0.8,453.0,kJ,107.0,0.1,0.004,0.5,1.4,0.0,0.0,0.0,0.0,0.0,0.0,A,A
3038352880909.0,Le Ravioli Bolognaise sans conservateur,b,c,False,72.0,Bon,11.47403846,1.9,433.0,kJ,103.0,1.7,0.34,4.5,1.3,11.47403846,0.0,0.0,0.0,1.0,1.0,A,D
3021690011050.0,Ravioli 6 légumes,b,b,False,75.0,Excellent,34.35,2.3,316.0,kJ,75.0,0.5,0.308,2.7,1.8,34.35,0.0,0.0,0.0,0.0,0.0,A,D
3564707101981.0,Ravioli Ricotta Epinards,b,a,True,85.0,Excellent,11.0,2.8,1031.0,kJ,244.0,2.0,0.56,8.6,3.4,11.0,0.0,0.0,0.0,0.0,0.0,B,D
3021690029093.0,Ravioli pur boeuf français,b,b,False,75.0,Excellent,42.95,1.9,391.0,kJ,84.0,0.8,0.34,3.7,1.1,42.95,0.0,0.0,0.0,0.0,0.0,A,D
5905279248069.0,Gyoza poulet,b,c,False,72.0,Bon,41.88928223,1.7,712.0,kJ,170.0,1.1,0.44,7.6,1.9,41.88928223,0.0,0.0,0.0,0.0,0.0,A,D
20263812.0,Ravioli Pur Bœuf,b,b,False,69.0,Bon,12.478125,1.4,91.0,kcal,91.0,0.8,0.34,3.8,0.8,12.478125,0.0,0.0,1.0,1.0,2.0,A,D
3240931545066.0,Gnocchi à poêler,b,b,False,75.0,Excellent,6.375,1.5,801.0,kJ,190.0,0.3,0.44,5.0,2.6,6.375,0.0,0.0,0.0,1.0,1.0,A,D
3242272251354.0,Tortellini chèvre sauce tomate,b,c,False,75.0,Excellent,17.30179398,1.7,674.0,kJ,161.0,2.5,0.28,6.1,2.5,17.30179398,0.0,0.0,0.0,0.0,0.0,A,D
5410028120126.0,Chinese Eiermie,b,b,False,75.0,Excellent,0.0,2.3,1517.0,kJ,358.0,0.7,0.368,12.5,2.5,0.0,0.0,0.0,0.0,1.0,1.0,D,D
3240931545332.0,Girasoli cèpes parmesan,b,b,False,72.0,Bon,21.7,7.1,1048.0,kJ,249.0,2.6,0.44,8.1,2.9,21.7,0.0,0.0,0.0,0.0,0.0,B,D
